Kanji,Kana,Romaji,English,Part of Speech,Category,Subcategory,Example (JP),Example (Kana),Example (Romaji),Example (EN)
週,しゅう,shū,week,n,Everyday Words,,一週間は七日ある。,いっしゅうかんはなのかある。,I-sshūkan wa nano-ka aru.,There are seven days in a week.
年,とし,toshi,year,n,Everyday Words,,うるう年,うるうどし,urūdoshi,leap year
今日,きょう,kyō,today,n,Everyday Words,,今日はとても寒いです。,きょうはとてもさむいです。,Kyō wa totemo samui desu.,It's very cold today.
明日,あした,ashita,tomorrow,n,Everyday Words,,また明日！,またあした！,Mata ashita!,See you tomorrow!
昨日,きのう,kinō,yesterday,n,Everyday Words,,昨日の午後,きのうのごご,kinō no gogo,yesterday afternoon
カレンダー,カレンダー,karendā,calendar,n,Everyday Words,,私は、カレンダーに自分達の記念日を記しました。,わたしは、カレンダーにじぶんたちのきねんびをしるしました。,"Watashi wa, karendā ni jibun-tachi no kinenbi o shirushimashita.",I marked our anniversary on the calendar.
秒,びょう,byō,second,n,Everyday Words,Clock,一分間は六十秒あります。,いっぷんかんはろくじゅうびょうあります。,I-ppun-kan wa roku-jū-byō arimasu.,There are sixty seconds in a minute.
時間,じかん,jikan,hour,n,Everyday Words,Clock,一時間は六十分です。,いちじかんはろくじゅっぷんです。,Ichi-jikan wa roku-juppun desu.,There are 60 minutes in an hour.
分,ふん,fun,minute,n,Everyday Words,Clock,一分は六十秒です。,いっぷんはろくじゅうびょうです。,I-ppun wa roku-jū-byō desu.,There are sixty seconds in a minute.
時,じ,ji,o'clock,n,Everyday Words,Clock,三時,さんじ,san-ji,3 o’clock
時計,とけい,tokei,clock,n,Everyday Words,Clock,目覚まし時計は五時にセットされている。,めざましどけいはごじにセットされている。,Mezamashidokei wa go-ji ni setto sarete iru.,The alarm clock is set for 5 a.m.
できる,できる,dekiru,can,v,Everyday Words,,私は中国語で一から十まで数えることができる。,わたしはちゅうごくごでいちからじゅうまでかぞえることができる。,Watashi wa Chūgoku-go de ichi kara jū made kazoeru koto ga dekiru.,I can count from one to ten in Chinese.
使う,つかう,tsukau,use,v,Everyday Words,,プログラマーがコンピュータを使う。,プログラマーがコンピュータをつかう。,Puroguramā ga konpyūta o tsukau.,The programmer uses the computer.
する,する,suru,do,v,Everyday Words,,女の人が家事をした。,おんなのひとがかじをした。,Onna no hito ga kaji o shita.,The woman did housework.
行く,いく,iku,go,v,Everyday Words,,学校に行く,がっこうにいく,gakkō ni iku,I go to school
来る,くる,kuru,come,v,Everyday Words,,女の子がビデオカメラの方に来た。,おんなのこがビデオカメラのほうにきた。,Onna no ko ga bideo kamera no hō ni kita.,The girl came towards the video camera.
笑う,わらう,warau,laugh,v,Everyday Words,,そのカップルは、冗談に笑う。,そのカップルは、じょうだんにわらう。,"Sono kappuru wa, jōdan ni warau.",The couple laughs at a joke.
作る,つくる,tsukuru,make,v,Everyday Words,,シェフがオレンジジュースを作った。,シェフがオレンジジュースをつくった。,Shefu ga orenji jūsu o tsukutta.,The chef made orange juice.
見る,みる,miru,see,v,Everyday Words,,旅行者達が夕日を見る。,りょこうしゃたちがゆうひをみる。,Ryokōsha-tachi ga yūhi o miru.,The tourists see the sunset.
遠い,とおい,tōi,far,i-adj,Everyday Words,,女性は、遠くに何かを見ている。,じょせいは、とおいなにかをみている。,"Josei wa, tōi nani ka o mite iru.",The woman is looking at something far away.
小さい,ちいさい,chiisai,small,i-adj,Everyday Words,,とても小さいハンバーガーがフォークにのっている。,とてもちいさいハンバーガーがフォークにのっている。,Totemo chiisai hanbāgā ga fōku ni notte iru.,There is a very small hamburger on the fork.
良い,よい,yoi,good,i-adj,Everyday Words,,野菜は、体に良い食べ物です。,やさいは、からだにいいです。,Yasai wa karada ni ii desu.,Vegetables are good for you.
きれい,きれい,kirei,beautiful,na-adj,Everyday Words,,彼女はきれいな女性だ。,かのじょはきれいなじょせいだ。,Kanojo wa kirei na josei da.,She is a beautiful woman.
醜い,みにくい,minikui,ugly,i-adj,Everyday Words,,醜い顔,みにくいかお,minikui kao,ugly face
難しい,むずかしい,muzukashii,difficult,i-adj,Everyday Words,,難しい仕事,むずかしいしごと,muzukashii shigoto,difficult job
簡単,かんたん,kantan,easy,na-adj,Everyday Words,,簡単な試験,かんたんなしけん,kantan na shiken,easy exam
悪い,わるい,warui,bad,i-adj,Everyday Words,,天気が悪い,てんきがわるい,tenki ga warui,weather is bad
近い,ちかい,chikai,near,i-adj,Everyday Words,,私の学校は病院の近くにある。,わたしのがっこうはびょういんのちかくにある。,Watashi no gakkō wa byōin no chikaku ni aru.,My school is near the hospital.
初めまして。,,,Nice to meet you.,,Everyday Words,Common Expressions,阿部さん、初めまして、田代と申します。,あべさん、はじめまして。たしろともうします。,"Abe-san, hajimemashite. Tashiro to mōshimasu.","Mr. Abe, nice to meet you. I'm Tashiro."
こんにちは。,,,Hello.,,Everyday Words,Common Expressions,「こんにちは」は大切な挨拶です。,「こんにちは」はたいせつなあいさつです。,"""Kon'nichiwa"" wa taisetsu na aisatsu desu.","""Hello"" is the important greeting."
おはよう。,,,Good morning.,,Everyday Words,Common Expressions,おはよう。まだ眠いです。,おはよう。まだねむいです。,Ohayō. Mada nemui desu.,Good morning. I'm still sleepy.
こんばんは。,,,Good evening.,,Everyday Words,Common Expressions,こんばんは、佐藤さん、今日は寒いですね。,こんばんは、さとうさん、きょうはさむいですね。,"Konbanwa, Satō-san, kyō wa samui desu ne.","Good evening, Ms. Sato, it's cold today."
お休みなさい。,,,Good night.,,Everyday Words,Common Expressions,黒川先生、お休みなさい。,くろかわせんせい、おやすみなさい。,"Kurokawa-sensei, oyasuminasai.","Good night, Mr. Kurokawa."
お元気ですか。,,,How are you?,,Everyday Words,Common Expressions,こんにちは、松島さん、お元気ですか？,こんにちは、まつしまさん、おげんきですか。,"Kon'nichiwa, Matsushima-san, o-genki desu ka.","Hello, Mr. Matsushima, how are you?"
ありがとう。,,,Thank you!,,Everyday Words,Common Expressions,ありがとう、でも、私はこれを注文しませんでした。,ありがとう。でも、わたしはこれをちゅうもんしていませんでした。,"Arigatō. Demo, watashi wa kore o chūmon shite imasen.","Thank you, but I didn't order this."
いいえ。,,,No.,,Everyday Words,Common Expressions,いいえ、私は盗んでいません。,いいえ、わたしはぬすんでいません。,"Iie, watashi wa nusunde imasen.","No, I didn't steal it!"
美味しい！,,,Delicious!,,Everyday Words,Common Expressions,美味しいデザート,おいしいデザート,oishii dezāto,delicious deserts
私は～です。,,,I'm...(____).,,Everyday Words,Common Expressions,,,,
さようなら。,,,Goodbye.,,Everyday Words,Common Expressions,さようなら、また明日会いましょう！,さようなら、またあしたあいましょう！,"Sayōnara, mata ashita aimashō!","Goodbye, I'll see you tomorrow."
はい。,,,Yes.,,Everyday Words,Common Expressions,はい、これは私のです。,はい、これはわたしのです。,"Hai, kore wa watashi no desu.","Yes, this is mine."
月曜日,げつようび,getsu-yōbi,Monday,n,Everyday Words,Days of The Week,一週間の仕事は月曜日から始まる。,いっしゅうかんのしごとはげつようびからはじまる。,I-sshūkan no shigoto wa getsu-yōbi kara hajimaru.,The workweek starts on Monday.
火曜日,かようび,ka-yōbi,Tuesday,n,Everyday Words,Days of The Week,今年の一月一日は火曜日です。,ことしのいちがつついたちはかようびです。,Kotoshi no ichi-gatsu tsuitachi wa ka-yōbi desu.,January 1st falls on a Tuesday this year.
水曜日,すいようび,sui-yōbi,Wednesday,n,Everyday Words,Days of The Week,十八日の水曜日,じゅうはちにちのすいようび,jū hachi-nichi no sui-yōbi,Wednesday the 18th
木曜日,もくようび,moku-yōbi,Thursday,n,Everyday Words,Days of The Week,明日は水曜日、あさっては木曜日です。,あしたはすいようび、あさってはもくようびです。,"Asu wa sui-yōbi, asatte wa moku-yōbi desu.","Tomorrow is Wednesday, and the day after tomorrow is Thursday."
金曜日,きんようび,kin-yōbi,Friday,n,Everyday Words,Days of The Week,月曜、火曜、水曜、木曜、金曜は平日です。,げつよう、かよう、すいよう、もくよう、きんようはへいじつです。,"Getsu-yō, ka-yō, sui-yō, moku-yō, kin-yō wa heijitsu desu.","Monday, Tuesday, Wednesday, Thursday and Friday are weekdays."
土曜日,どようび,do-yōbi,Saturday,n,Everyday Words,Days of The Week,土曜日に予定がない,どようびによていがない,do-yōbi ni yotei ga nai,no plans for Saturday
日曜日,にちようび,nichi-yōbi,Sunday,n,Everyday Words,Days of The Week,日曜は父の日です。,にちようはちちのひです。,Nichi-yō wa chichi no hi desu.,Sunday is Father's Day.
五月,ごがつ,go-gatsu,May,n,Everyday Words,,いま四月なので、来月は五月になります。,いましがつなので、らいげつはごがつになります。,"Ima shi-gatsu na node, raigetsu wa go-gatsu ni narimasu.",It is now April so next month will be May.
一月,いちがつ,ichi-gatsu,January,n,Everyday Words,,今年の一月一日は火曜日です。,ことしのいちがつついたちはかようびです。,Kotoshi no ichi-gatsu tsuitachi wa ka-yōbi desu.,January 1st falls on a Tuesday this year.
二月,にがつ,ni-gatsu,February,n,Everyday Words,,うるう日は、二月二十九日のことだ。,うるうびは、にがつにじゅうくにちのことだ。,"Urūbi wa, ni-gatsu ni-jū ku-nichi no koto da.",Leap year day is February 29th.
三月,さんがつ,san-gatsu,March,n,Everyday Words,,今は、四月なので、先月は三月でした。,いまは、しがつなので、せんげつはさんがつでした。,"Ima wa, shi-gatsu na node, sengetsu wa san-gatsu deshita.",It is now April so last month was March.
四月,しがつ,shi-gatsu,April,n,Everyday Words,,いま四月なので、来月は五月です。,いましがつなので、らいげつはごがつです。,"Ima shi-gatsu na node, raigetsu wa go-gatsu desu.",It is now April so next month will be May.
六月,ろくがつ,roku-gatsu,June,n,Everyday Words,,私たちは六月に結婚します。,わたしたちはろくがつにけっこんします。,Watashi-tachi wa roku-gatsu ni kekkon shimasu.,We are getting married in June.
七月,しちがつ,shichi-gatsu,July,n,Everyday Words,,ジュライは、7月生まれのジュリアスシーザーにちなんでいる。,ジュライは、7がつうまれのジュリアスシーザーにちなんでいる。,"Jurai wa, shichi-gatsu umare no Juriasu Shīzā ni chinande iru.","July is named for Julius Caesar, who was born in July."
八月,はちがつ,hachi-gatsu,August,n,Everyday Words,,八月は、学校が休みだ。,はちがつは、がっこうがやすみだ。,Hachi-gatsu wa gakkō ga yasumi da.,The school is closed in August.
九月,くがつ,ku-gatsu,September,n,Everyday Words,,今日は九月十日、土曜日です。,きょうはくがつとうか、どようびです。,"Kyō wa ku-gatsu tōka, do-yōbi desu.","Today is Saturday, September 10th."
十月,じゅうがつ,jū-gatsu,October,n,Everyday Words,,ハロウィーンは、十月三十一日だ。,ハロウィーンは、じゅうがつさんじゅういちにちだ。,"Harowīn wa, jū-gatsu san-jū ichi-nichi da.",Halloween falls on October 31st.
十一月,じゅういちがつ,jūichi-gatsu,November,n,Everyday Words,,十一月二十四日、木曜日の感謝祭,じゅういちがつにじゅうよっか、もくようびのかんしゃさい,"jūichi-gatsu ni-jū yokka, moku-yōbi no kanshasai","Thanksgiving, Thursday November 24th"
十二月,じゅうにがつ,jū ni-gatsu,December,n,Everyday Words,,十二月八日、金曜日,じゅうにがつようか、きんようび,"jūni-gatsu yōka, kin-yōbi","Friday, December 8th"
零,れい,rei,zero,n,Everyday Words,Numbers,今日の気温はだいたい零度です。,きょうのきおんはだいたいれいどです。,Kyō no kion wa daitai rei-do desu.,It's about zero degrees today.
一,いち,ichi,one,n,Everyday Words,Numbers,一時間インターネットをしました。,いちじかんインターネットをしました。,Ichi-jikan intānetto o shimashita.,I surfed the Internet for an hour.
二,に,ni,two,n,Everyday Words,Numbers,数字の二は私の好きな数字です。,すうじのにはわたしのすきなすうじです。,Sūji no ni wa watashi no suki na sūji desu.,The number two is my favorite number.
三,さん,san,three,n,Everyday Words,Numbers,三度,さんど,san-do,three degrees
四,し、よん,"shi, yon",four,n,Everyday Words,Numbers,四車線道路,よんしゃせんどうろ,yon shasen dōro,four-lane motorway
五,ご,go,five,n,Everyday Words,Numbers,目覚まし時計を朝五時にセットした。,めざましどけいをあさごじにセットした。,Mezamashidokei o asa go-ji ni setto shita.,The alarm clock is set for five a.m.
六,ろく,roku,six,n,Everyday Words,Numbers,六インチ,ろくインチ,roku-inchi,six inches
七,しち、なな,"shichi, nana",seven,n,Everyday Words,Numbers,七時に友達と会います。,しちじにともだちとあいます。,Shichi-ji ni tomodachi to aimasu.,I'm going to meet my friend at 7 p.m.
八,はち,hachi,eight,n,Everyday Words,Numbers,私は八歳の娘がいます。,わたしにははっさいのむすめがいます。,Watashi ni wa hassai no musume ga imasu.,I have an eight-year-old daughter.
九,きゅう,kyū,nine,n,Everyday Words,Numbers,外の気温は九度です。,そとのきおんはきゅうどです。,Soto no kion wa kyū-do desu.,The temperature outside is nine degrees.
十,じゅう,jū,ten,n,Everyday Words,Numbers,わたしの息子は十歳です。,わたしのむすこはじゅっさいです。,Watashi no musuko wa jussai desu.,My son is ten years old.
コーヒー,コーヒー,kōhī,coffee,n,Food and Drink,,カップに入ったコーヒー,カップにはいったコーヒー,kappu ni haitta kōhī,cup of coffee
ビール,ビール,bīru,beer,n,Food and Drink,,私はテレビでスポーツを見ながら缶ビールや瓶ビールを飲むのが好きだ。,わたしはテレビでスポーツをみながらかんビールやびんビールをのむのがすきだ。,Watashi wa terebi de supōtsu o mi nagara kan bīru ya bin bīru o nomu no ga suki da.,I enjoy a can or bottle of beer when watching sports on television.
茶,ちゃ,cha,tea,n,Food and Drink,,カップのお茶,いっぱいのおちゃ,i-ppai no o-cha,cup of tea
ワイン,ワイン,wain,wine,n,Food and Drink,,グラスワイン,gurasu wain,,glass of wine
水,みず,mizu,water,n,Food and Drink,,水をもらえますか。,みずをもらえますか。,Mizu o moraemasu ka.,"Can I have some water, please?"
牛肉,ぎゅうにく,gyū niku,beef,n,Food and Drink,Meats,おいしい牛肉,おいしいぎゅうにく,oishii gyūniku,flavorful beef
豚肉,ぶたにく,buta niku,pork,n,Food and Drink,Meats,豚肉は、豚から取れる肉です。,ぶたにくは、ぶたからとれるにくです。,"Butaniku wa, buta kara toreru niku desu.",Pork is the meat from a pig.
鶏肉,とりにく,tori niku,chicken,n,Food and Drink,Meats,鶏肉にしますか、魚にしますか？,とりにくにしますか、さかなにしますか？,"Toriniku ni shimasu ka, sakana ni shimasu ka?",Chicken or fish?
ラム肉,ラムにく,ramu niku,lamb,n,Food and Drink,Meats,ラムは最高においしいです。,ラムはさいこうにおいしいです。,Ramu wa saikō ni oishii desu.,Lamb is extremely delicious.
魚,さかな,sakana,fish,n,Food and Drink,Seafood,人間にとって魚は大切な食べ物です。,にんげんにとってさかなはたいせつなたべものです。,Ningen ni totte sakana wa taisetsu na tabemono desu.,Fish is an important food source for people.
足,あし,ashi,foot,n,Health and Body,,左足,ひだりあし,hidari ashi,left foot
頭,あたま,atama,head,n,Health and Body,,頭を守るためにヘルメットをかぶりなさい。,あたまをまもるためにヘルメットをかぶりなさい。,Atama o mamoru tame ni herumetto o kaburinasai.,Wear a helmet to protect your head.
腕,うで,ude,arm,n,Health and Body,,彼は、腕は長いが、足は短い。,かれは、うではながいが、あしはみじかい。,"Kare wa ude wa nagai ga, ashi wa mijikai.","He has long arms, but short legs."
手,て,te,hand,n,Health and Body,,子どもが手を上げている。,こどもがてをあげている。,Kodomo ga te o agete iru.,The child is raising his hand.
指,ゆび,yubi,finger,n,Health and Body,,指から血が出ています。,ゆびからちがでています。,Yubi kara chi ga dete imasu.,My finger's bleeding.
体,からだ,karada,body,n,Health and Body,,人間の体,にんげんのからだ,ningen no karada,human body
胃,い,i,stomach,n,Health and Body,,医者が、手に胃の模型を持っている。,いしゃが、てにいのもけいをもっている。,"Isha ga, te ni i no mokei o motte iru.",The doctor is holding a stomach model.
背中,せなか,senaka,back,n,Health and Body,,背中が痛いです。,せなかがいたいです。,Senaka ga itai desu.,My back hurts.
胸,むね,mune,chest,n,Health and Body,,胸のレントゲン,むねのレントゲン,mune no rentogen,X-ray of a chest
看護師,かんごし,kangoshi,nurse,n,School and Work,Occupations,その女性は、看護師だ。,そのじょせいは、かんごしだ。,Sono josei wa kangoshi da.,The woman is a nurse.
従業員,じゅうぎょういん,jūgyōin,employee,n,School and Work,Occupations,従業員が役員室で会議をしている。,じゅうぎょういんがやくいんしつでかいぎをしている。,Jūgyōin ga yakuinshitsu de kaigi o shite iru.,The employees are having a meeting in the boardroom.
警察官,けいさつかん,keisatsukan,police officer,n,School and Work,Occupations,制服を着た警察官,せいふくをきたけいさつかん,seifuku o kita keisatsukan,police officer in uniform
料理人,りょうりにん,ryōrinin,cook,n,School and Work,Occupations,彼女は四つ星レストランの料理人だ。,かのじょはよつぼしレストランのりょうりにんだ。,Kanojo wa yotsu-boshi resutoran no ryōrinin da.,She is a cook at a four-star restaurant.
エンジニア,エンジニア,enjinia,engineer,n,School and Work,Occupations,良いエンジニアは、システムを設計し、構築する事ができる。,よいエンジニアは、システムをせっけいし、こうちくすることができる。,"Yoi enjinia wa, sisutemu o sekkei shi, kōchiku suru koto ga dekiru.",A good engineer can design and build systems.
医者,いしゃ,isha,doctor,n,School and Work,Occupations,医者は足を診察している。,いしゃはあしをしんさつしている。,Isha wa ashi o shinsatsu shite iru.,The doctor is examining the foot.
マネージャー,マネージャー,manējā,manager,n,School and Work,Occupations,その部門マネージャーは生産を担当している。,そのぶもんマネージャーはせいさんをたんとうしている。,Sono bumon manējā wa seisan o tantō shite iru.,The department manager is in charge of production.
先生,せんせい,sensei,teacher,n,School and Work,Occupations,先生が教室で生徒に教えている。,せんせいがきょうしつでせいとにおしえている。,Sensei ga kyōshitsu de seito ni oshiete iru.,The teacher is teaching the kids in the classroom.
プログラマー,プログラマー,puroguramā,programmer,n,School and Work,Occupations,,,,
セールスマン,セールスマン,sērusuman,salesman,n,School and Work,Occupations,車のセールスマン,くるまのセールスマン,kuruma no sērusuman,car salesman
